Country,Place,State,Latitude,Longitude
USA,Pierce County,WA,47.2496,-122.4399
USA,Burlington,VT,44.4724,-73.2115
USA,Vineyard,UT,40.2969,-111.747
USA,Payson,UT,40.0444,-111.7322
USA,Santa Fe,NM,35.687,-105.9378
USA,Minneapolis,MN,44.9773,-93.2655
USA,Eastpointe,MI,42.4684,-82.9555
USA,Maine,ME,44.3105,-69.7793
USA,Cambridge,MA,42.3751,-71.1056
USA,San Leandro,CA,37.7249,-122.1561
USA,San Francisco,CA,37.7648,-122.463
USA,Oakland,CA,37.8045,-122.2714
USA,Berkeley,CA,37.8708,-122.2729
